sentiment,content
3,"I've bought $5 wired headphones that sound better than these.
"
0,"This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.
"
0,"Nice quality build, unlike some cheap s*** out there.
"
0,"This item is fantastic and works perfectly!
"
0,"And I just love the colors!
"
0,"W810i is just SUPERB.
"
2,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.
"
2,"Great charger.
"
3,"This is essentially a communications tool that does not communicate.
"
0,"Works like a charm; it work the same as the one I got with the phone.
"
1,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.
"
0,"Great Value.
"
1,"Doesn't work at all.. I bougth it for my L7c and its not working.
"
0,"The look of it is very sharp and the screen is nice and clear, with great graphics.
"
3,"doesn't last long.
"
3,"one thing I hate is the mode set button at the side.
"
0,"EXCELLENT SERVICE!!!!!!!!.
"
3,"Thank you for wasting my money.
"
1,"How can that be?The audio quality is poor.
"
0,"The iGo chargers and tips are really great.
"
0,"The file browser offers all the options that one needs.Handsfree is great.
"
2,"Superb Phone on a Great Network.
"
2,"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.
"
1,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.
"
3,"It only recognizes the Phone as its storage device.
"
2,"If you like a loud buzzing to override all your conversations, then this phone is for you!
"
1,"Don't buy this product.
"
1,"I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.
"
0,"The sound quality is good and functionality is awesome.
"
3,"I have this phone and it is a thorn in my side, I really abhor it.
"
3,"I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.
"
2,"Incredible!.
"
1,"Design Flaw?.
"
0,"Great phone!.
"
1,"Waste of 13 bucks.
"
3,"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.
"
1,"The replacement died in a few weeks.
"
0,"Any ring tone..Overall good phone to buy..
"
2,"Lately they have been extremely nice and helpful on the phone.
"
3,"I have had problems wit hit dropping signal and more.
"
3,"Not impressed.
"
0,"Light weight, I hardly notice it is there.
"
0,"You'll love how thin it is.
"
3,"Bad Choice.
"
1,"The pleather case doesn't fit.
"
3,"useless phone, simply deaf.
"
0,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.
"
0,"All in all I think it was a good investment.
"
3,"It makes very strange ticking noises before it ends the call.
"
2,"The best electronics of the available FM Transmitters.
"
3,"Battery lasts only a few hours.
"
2,"great headset, very impressed - H500.
"
2,"The 1.2 mega pixel camera, being a part of a phone, is reasonably good7.
"
2,"I've had this for nearly 2 years and it has worked great for me.
"
1,"Good transmit audio.
"
3,"We are sending it back.
"
3,"I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.
"
3,"If you hate earbugs, avoid this phone by all means.
"
2,"Great price also!
"
0,"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.
"
2,"fast service.
"
2,"I would highly recommend this.
"
2,"I would recommend this.
"
1,"I also didn't like the on button, it felt like it would crack with use.
"
1,"WORST PHONE EVER.
"
3,"I'm still infatuated with this phone.
"
3,"Freezes frequently4.
"
3,"It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.
"
2,"Simple, lightweight and great fit.
"
3,"All in all, I'd expected a better consumer experience from Motorola.
"
3,"There's a horrible tick sound in the background on all my calls that I have never experienced before.
"
0,"These are certainly very comfortable and functionality is decent.
"
2,"I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.
"
1,"I'm a bit disappointed.
"
1,"I have had this phone for over a year now, and I will tell you, its not that great.
"
1,"I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).
"
3,"The battery is completely useless to me.
"
3,"hat a big waste of time.
"
3,"Don't waste your $$$ on this one.
"
0,"Great sound and service.
"
2,"Really pleased with this product so far.
"
2,"One of my favorite purchases ever.
"
2,"best bluetooth on the market.
"
0,"Authentic leather with nice shine and comfort .I recommend you this case !!
"
0,"I was very excited to get this headset because I thought it was really cute.
"
3,"Do not make the same mistake as me.
"
3,"Big Disappointment with calendar sync.
"
3,"the phone was unusable and was not new.
"
3,"Worst Customer Service Ever.
"
3,"No additional ear gels provided, and no instructions whatsoever.
"
0,"It defeats the purpose of a bluetooth headset.
"
0,"Worth every penny.
"
2,"Excellent wallet type phone case.
"
2,"Nice headphones for the price and they work great!
"
1,"Internet is excrutiatingly slow.
"
2,"It is very comfortable to wear as well, which is probably the most important aspect about using a case.
"
0,"It's fits like a glove and is strong, secure, and durable.
"
0,"O my gosh the best phone I have ever had.
"
2,"It's very attractive and appears to be of good quality.
"
0,"I love all the features and form factor.
"
0,"This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it
"
3,"poor quality and service.
"
1,"The cable looks so thin and flimsy, it is scary.
"
2,"Great Earpiece.
"
2,"Excellent hands free tool.
"
2,"Great for using with your home stereo.
"
2,"Good product - incredible value.
"
0,"Only had this a month but it's worked flawlessly so far.
"
0,"Works great.
"
1,"Absolutel junk.
"
3,"THAT one didn't work either.
"
2,"Battery life is real good.
"
1,"Returned 8 hours later.
"
2,"It's a great item.
"
3,"Don't waste your money!.
"
0,"Love this headset!
"
3,"Not only will it drain your player, but may also potentially fry it.
"
0,"Worked perfectly!
"
3,"Unreliable - I'm giving up.
"
0,"I gave it 5 stars because of the sound quality.
"
1,"Avoid this one if you can.
"
2,"Reversible plug works great.
"
1,"I wasted my little money with this earpiece.
"
0,"Very good phone.
"
2,"Best of all is the rotating feature, very helpful.
"
0,"Comfort for our whole family.
"
0,"Good product, good seller.
"
0,"I love this bluetooth!
"
1,"First of all, it doesn't wear well.
"
0,"I am very impressed with this headset from Plantronics.
"
1,"I got it because it was so small and adorable.
"
0,"Great phone!.
"
3,"I wouldn't recommend buying this product.
"
3,"Piece of Junk.
"
3,"Poorly contstruct hinge.
"
2,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems
"
0,"Great Phone.
"
1,"Don't buy it.
"
0,"Excellent Phone.
"
1,"DO NOT PURCHASE THIS PHONE.
"
2,"The voice recognition thru the handset is excellent.
"
0,"This is hands down the best phone I've ever had.
"
0,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.
"
0,"This one works and was priced right.
"
3,"Customer service was terrible.
"
1,"Battery life still not long enough in Motorola Razor V3i.
"
1,"Sending it back.
"
0,"Now I know that I made a wise decision.
"
0,"Someone shouldve invented this sooner.
"
0,"Good price.
"
0,"Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.
"
0,"I received it quickly and it works great!!
"
0,"Has been working great.
"
1,"As many people complained, I found this headset's microphone was very weak.
"
3,"My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.
"
3,"They do not care about the consumer one bit.
"
0,"This is a good battery, and it got here really fast.
"
1,"The instruction manual is lacking.
"
2,"Also its slim enough to fit into my alarm clock docking station without removing the case.
"
0,"Phone now holds charge like it did when it was new.
"
1,"The battery is unreliable as well as the service use antena.
"
1,"It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).
"
1,"We have gotten a lot of compliments on it.
"
0,"This is definitely a must have if your state does not allow cell phone usage while driving.
"
1,"I want my money back.
"
0,"I love this device.
"
0,"I am also very happy with the price.
"
1,"I ordered this product first and was unhappy with it immediately.
"
1,"The Ngage is still lacking in earbuds.
"
0,"I was able to do voice dialing in the car with no problem.
"
1,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.
"
0,"good item, low price.
"
1,"However-the riingtones are not the best, and neither are the games.
"
1,"The plug did not work very well.
"
1,"AMAZON SUCKS.
"
1,"Rip off---- Over charge shipping.
"
0,"VERY comfortable.
"
0,"The battery is working well as a replacement for the original that came with the phone over 2 years ago.
"
0,"The reception is excellent!
"
0,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.
"
0,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.
"
0,"long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.
"
0,"viously there is a problem with the adhesive.
"
1,"Very disappointing.
"
3,"It was an inexpensive piece, but I would still have expected better quality.
"
1,"It is practically useless and did not add any kind of boost to my reception after I bought it.
"
0,"Excellent sound quality.
"
1,"Was not happy.
"
1,"A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!
"
0,"New Battery works great in phone.
"
3,"Worst customer service.
"
2,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).
"
3,"Reception is terrible and full of static.
"
0,"Good audio quality.
"
0,"This little device has transformed my organizational capability and made my life a whole lot easier.
"
1,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.
"
1,"Were JERKS on the phone.
"
2,"Works like a charm.. Works as advertised.
"
2,"Comfortable, Nice Range, Good Battery Life.
"
3,"Their network coverage in Los Angeles is horrible.
"
2,"Excellent starter wireless headset.
"
2,"The loudspeaker option is great, the bumpers with the lights is very ... appealing.
"
3,"The only thing that I think could improve is the sound leaks out from the headset.
"
3,"First off the reception sucks, I have never had more than 2 bars, ever.
"
1,"The phone gets EXTREMELY HOT!
"
0,"The microphone also works well, but (according to people I have called) it applifies everything.
"
0,"Nice design and quality.
"
1,"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.
"
2,"It is light, easy to use, and has very clear reception and transmission.
"
1,"bad fit, way too big.
"
1,"It definitely was not as good as my S11.
"
0,"awesome device.
"
1,"Waste of money.
"
0,"I had ordered a motorola data cable, got a very well finished and working product.
"
0,"Love This Phone.
"
1,"I was looking for this headset for a long time and now that I've got it I couldn't be happier.
"
1,"I'll be drivng along, and my headset starts ringing for no reason.
"
0,"Display is excellent and camera is as good as any from that year.
"
0,"Battery life is also great!
"
3,"The worst phone I've ever had.... Only had it for a few months.
"
3,"Not a good item.. It worked for a while then started having problems in my auto reverse tape player.
"
3,"This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.
"
0,"Protects the phone on all sides.
"
2,"This is a VERY average phone with bad battery life that operates on a weak network.
"
3,"Clear Skype Calls, Long Battery Life, Long Range.
"
3,"Soyo technology sucks.
"
0,"Great Hands Free Device.
"
2,"you can even take self portraits with the outside (exterior) display, very cool.
"
3,"Same problem as others have mentioned.
"
0,"After trying many many handsfree gadgets this is the one that finally works well.
"
2,"Magical Help.
"
3,"The worst piece of crap ever along with the Verizon customer service.
"
1,"Poor sound quality.
"
0,"The best phone in market :).
"
0,"It worked very well.
"
2,"The company shipped my product very promptly and it works well.
"
2,"Exactly what I wanted.
"
0,"The picture resolution is far below what other comparably-priced phones are offering today.
"
0,"This is a great deal.
"
2,"Excellent product, I am very satisfied with the purchase.
"
2,"I highly recommend these and encourage people to give them a try.
"
0,"Better than you'd expect.
"
3,"Using all earpieces, left or right, this thing will not stay on my ear.
"
0,"Great product and price.
"
0,"Sounds good reasonably priced and effective, Its that simple !
"
2,"Still Waiting...... I'm sure this item would work well.. if I ever recieve it!
"
3,"what a disappointment
"
0,"Very prompt service.
"
2,"Excellent product for the price.
"
0,"Very pleased with this headset.
"
3,"don't waste your money and time.
"
2,"I especially love the long battery life.
"
1,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.
"
0,"Works great.
"
0,"Plantronics Bluetooth Excelent Buy.
"
0,"I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.
"
3,"I'll be looking for a new earpiece.
"
0,"I highly recommend this device to everyone!
"
2,"Jawbone Era is awesome too!
"
3,"We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement
"
1,"After a year the battery went completely dead on my headset.
"
0,"I have used several phone in two years, but this one is the best.
"
0,"An Awesome New Look For Fall 2000!.
"
2,"This is the first phone I've had that has been so cheaply made.
"
3,"Att is not clear, sound is very distorted and you have to yell when you talk.
"
3,"The plastic breaks really easy on this clip.
"
2,"Price is good too.
"
1,"Don't make the same mistake I did.
"
3,"Oh and I forgot to also mention the weird color effect it has on your phone.
"
0,"I'm using it with an iriver SPINN (with case) and it fits fine.
"
3,"Also the area where my unit broke).- I'm not too fond of the magnetic strap.
"
0,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.
"
2,"every thing on phone work perfectly, she like it.
"
3,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.
"
2,"IT'S REALLY EASY.
"
2,"My Sanyo has survived dozens of drops on blacktop without ill effect.
"
0,"Fantastic earphones.
"
0,"It finds my cell phone right away when I enter the car.
"
1,"Low Quality.
"
2,"I highly recommend this modest priced cellular phone.
"
2,"But it does get better reception and clarity than any phone I've had before.
"
3,"Warning - Stay away.
"
3,"I wish I could return the unit and get back my money.
"
0,"Awsome Device Works Great!!.
"
1,"I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.
"
1,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.
"
1,"Very Displeased.
"
3,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.
"
1,"They made this case too small and is very difficult to install.
"
0,"Restored my phone to like new performance.
"
2,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.
"
2,"I searched the Internet, and found this one to be the best value.
"
1,"Does not fit.
"
0,"Very happy with this product.
"
0,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.
"
0,"There's really nothing bad I can say about this headset.
"
2,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.
"
0,"Portable and it works.
"
2,"My colleague & I now get great reception.A little expensive, but performance is great.
"
3,"I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.
"
3,"I've also had problems with the phone reading the memory card in which I always turn it on and then off again.
"
1,"Not good when wearing a hat or sunglasses.
"
0,"Timely shipment and quality product.
"
0,"Nice solid keyboard.
"
2,"Very well made and fits my Surefire GX2 perfectly.
"
3,"horrible phone.
"
3,"BT50 battery junk!.
"
2,"We would recommend these to others.
"
3,"Cant get the software to work with my computer.
"
3,"Disappointed!.
"
3,"poor voice clarity.
"
2,"The battery works great!
"
3,"No buyers remorse on this one!.
"
3,"Very disappointed in AccessoryOne.
"
3,"I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.
"
2,"Looks great and is strong.
"
0,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.
"
3,"The update procedure is difficult and cumbersome.
"
3,"Disappointment.. I hate anything that goes in my ear.
"
0,"Great software for Motorolas.
"
0,"The delivery was on time.
"
2,"Very easy to use.
"
3,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).
"
3,"The volume switch rocketed out of the unit to a destination unknown.
"
0,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.
"
1,"I'd like to return it.
"
2,"The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.
"
3,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.
"
2,"After charging overnight, these batteries work great.
"
0,"You won't regret it!
"
0,"I love this phone!.
"
3,"A Disappointment.
"
3,"Its not user friendly.
"
3,"Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.
"
3,"Then I exchanged for the same phone, even that had the same problem.
"
3,"This results in the phone being either stuck at max volume or mute.
"
2,"This PDA rocks.
"
2,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.
"
2,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!
"
2,"I had Verizon 2 years ago and really liked their service.
"
0,"Pretty piece of junk.
"
3,"Plug was the wrong size.
"
2,"Works as described.
"
0,"Save your money.... I've had this item for 11 months now.
"
3,"Bad Purchase.
"
2,"WELL IM SATISFIED.
"
2,"The bose noise cancelling is amazing, which is very important for a NYC commuter.
"
2,"This battery is an excellent bargain!
"
3,"Defective crap.
"
3,"I would have given no star if I was able.
"
2,"I wear glasses and it fits fine with them.
"
3,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.
"
3,"I would not recommend this item to anyone.
"
1,"The holster that arrived did not match the photo in the ad.
"
0,"great...no problems at all!.
"
3,"As an earlier review noted, plug in this charger and nothing happens.
"
2,"This frog phone charm is adorable and very eye catching.
"
3,"You never know if you pushed it hard enough or the right number of times for the function you want or not.
"
0,"The sound is clear and the people I talk to on it are amazed at the quality too.
"
2,"I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.
"
2,"very good product, well made.
"
0,"Mobile Phone Tools are a must have.
"
2,"I am very impressed with the job that Motorola did on the sturdiness of this phone.
"
0,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.
"
2,"The phone is sturdy and waterproof.
"
3,"I am not impressed with this and i would not recommend this item to anyone.
"
3,"My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)
"
0,"Thanks again to Amazon for having the things I need for a good price!
"
3,"I ended up sliding it on the edge of my pants or back pockets instead.
"
3,"I had to go to a store and bought a new NOKIA phone which is working great.
"
0,"Works great!.
"
1,"REALLY UGLY.
"
3,"horrible, had to switch 3 times.
"
2,"The noise shield is incrediable.
"
3,"No real improvement.
"
0,"Razr Battery - Good buy.
"
0,"Keep up the good work Amazon!!
"
3,"They refuse to refund or replace.
"
3,"Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.
"
3,"So I basically threw my money out the window for nothing.
"
2,"Great case and price!
"
1,"All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.
"
2,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.
"
2,"Small, sleek, impressive looking, practical setup with ample storage in place.
"
2,"The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.
"
3,"none of the new ones have ever quite worked properly.
"
2,"I am glad I purchased it.
"
3,"I've missed numerous calls because of this reason.
"
3,"Perhaps my phone is defective, but people cannot hear me when I use this.
"
3,"Don't buy this product.
"
1,"sucked, most of the stuff does not work with my phone.
"
0,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.
"
3,"Worst software ever used.... If I could give this zero stars I would.
"
3,"Trying to make a call on these is an exercise in frustration.
"
1,"The case is a flimsy piece of plastic and has no front or side protection whatsoever.
"
0,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.
"
0,"I love the camera, it's really pretty good quality.
"
0,"Thank you for such great service.
"
0,"Its a total package.
"
2,"The seller is very understanding and patient, I would definitely buy from them again.
"
3,"I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.
"
3,"It's AGGRAVATING!
"
0,"Great product for the price!.
"
2,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use
"
2,"Virgin Wireless rocks and so does this cheap little phone!
"
3,"None of it works, just don't buy it.
"
3,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.
"
3,"Please dont waste your money.
"
2,"All in all, I'm quite satisfied with this purchase.
"
3,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.
"
1,"Yet Plantronincs continues to use the same flawed charger design.
"
1,"Disapointing Results.
"
1,"Cumbersome design.
"
2,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!
"
0,"Great Product.
"
3,"It's A PIECE OF CRAP!
"
3,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!
"
0,"This fixes all the problems.
"
1,"Worst ever.
"
0,"I am very happy
"
2,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.
"
3,"I can barely ever hear on it and am constantly saying what?
"
3,"The battery life is highly unacceptable.
"
1,"That company is a joke.
"
0,"It does everything the description said it would.
"
1,"Due to this happening on every call I was forced to stop using this headset.
"
2,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.
"
3,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.
"
3,"Voice Quality, Signal Strength, Dropped Calls.
"
2,"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.
"
0,"Better than expected.
"
3,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.
"
2,"Battery is holding up well.
"
